Product Name,Price,Rating
"Motorola razr 60 Ultra (Pantone Rio Red, 16 GB RAM, 512 GB Storage) | Snapdragon® 8 Elite Mobile Platform | 6.9"" AMOLED Upto 165Hz Display | 50 MP + 50 MP + 50MP Triple Camera","99,999",N/A
"Motorola razr 60 Ultra (Pantone Mountain Trail, 16 GB RAM, 512 GB Storage) | Moto AI | Snapdragon® 8 Elite Mobile Platform | 6.9"" AMOLED 165Hz Display | 50 MP + 50 MP + 50MP Triple Camera","99,999",3.0 out of 5 stars
"Samsung Galaxy S24 5G AI Smartphone (Onyx Black, 8GB, 256GB Storage)","51,829",4.2 out of 5 stars
"Samsung Galaxy S24 5G AI Smartphone (Marble Gray, 8GB, 128GB Storage) with Other Offers","46,999",4.7 out of 5 stars
"Samsung Galaxy S24 FE 5G AI Smartphone (Graphite, 8GB RAM, 128GB Storage)","34,910",4.0 out of 5 stars
"Samsung Galaxy S24 5G AI Smartphone (Marble Gray, 8GB, 256GB Storage)","51,450",4.0 out of 5 stars
"Samsung Galaxy S24 5G AI Smartphone (Marble Gray, 8GB, 128GB Storage)","44,140",4.2 out of 5 stars
"Samsung Galaxy S24 5G AI Smartphone (Amber Yellow, 8GB, 128GB Storage)","44,840",4.2 out of 5 stars
"Samsung Galaxy S24 Plus 5G AI Smartphone (Cobalt Violet, 12GB, 256GB Storage)","56,804",3.9 out of 5 stars
"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Black, 12GB, 256GB Storage)_Without Offer","91,900",3.9 out of 5 stars
"Spigen Tough Armor for Samsung Galaxy S24 Case, Galaxy S24 Back Cover (2024) - Gunmetal","1,799",4.6 out of 5 stars
"Spigen Liquid Air for Samsung Galaxy S24 Case, Galaxy S24 Back Cover (2024) - Marble Gray","1,099",4.5 out of 5 stars
"Samsung Galaxy S24 FE 5G AI Smartphone (Blue, 8GB RAM, 128GB Storage)","34,990",3.7 out of 5 stars
"Samsung Galaxy S24 5G AI Smartphone (Amber Yellow, 8GB, 128GB Storage) with Other Offers","45,115",4.7 out of 5 stars
"Samsung Galaxy S24 5G AI Smartphone (Amber Yellow, 8GB, 256GB Storage)","50,225",4.2 out of 5 stars
"Samsung Galaxy S24 FE 5G (Graphite, 8GB RAM, 256GB Storage) | Exynos 2400e Processor | Dynamic AMOLED Display | Dual Nano-SIM | 4700mAh Battery","42,450",3.4 out of 5 stars
"Samsung Galaxy S24 Plus 5G AI Smartphone (Onyx Black, 12GB, 256GB Storage)","57,495",3.9 out of 5 stars
"Samsung Galaxy S24 FE 5G AI Smartphone (Mint, 8GB RAM, 128GB Storage)","34,965",4.2 out of 5 stars
"Samsung Galaxy S24 Ultra 5G AI Smartphone with Galaxy AI (Titanium Gray, 12GB, 256GB Storage), Snapdragon 8 Gen 3, 200 MP Camera with ProVisual Engine and 5000mAh Battery","89,900",4.1 out of 5 stars
"Samsung Galaxy S24 5G AI Smartphone (Cobalt Violet, 8GB, 256GB Storage)","52,999",4.2 out of 5 stars
"45W C-Type Super-Fast Charger Adapter Compatible with Samsung Galaxy S25/S24/23/22/21/20 (Ultra/Plus/FE/Edge), Note 20/20+/10/10+/S10 Ultra/ (S/A/F/M Series) Type C PD 5.0 Charger Adapter 45 w, White",999,4.8 out of 5 stars
"Spigen Ultra Hybrid for Samsung Galaxy S24 Case, Galaxy S24 Back Cover (2024) - Frost Black","1,499",4.2 out of 5 stars
